Ticker,Date,Pattern,PrimarySignal,MarketRegime,AlphaRank,Trades,WinRate,AlphaScore,TrustLevel,ConfidenceScore,PValue,ValidationStatus,TrustRank,ResearchNote
BEL,2026-06-18,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,72,2968,52.29,12.8763,INSTITUTIONAL,95.5,0.0,VALIDATED,5,"BEL RESEARCH NOTE

Signal: MOMENTUM

Trust Level: INSTITUTIONAL

Pattern:
MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED

Research Evidence:
Trades Observed = 2968

Confidence Score:
95.5

Historical Win Rate:
52.29%

Alpha Score:
12.88

Interpretation:
This pattern has been observed repeatedly
in historical market data and passed
through the validation pipeline.

Recommendation:
Highest confidence research pattern."
QQQ,2026-06-18,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,72,2968,52.29,12.8763,INSTITUTIONAL,95.5,0.0,VALIDATED,5,"QQQ RESEARCH NOTE

Signal: MOMENTUM

Trust Level: INSTITUTIONAL

Pattern:
MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED

Research Evidence:
Trades Observed = 2968

Confidence Score:
95.5

Historical Win Rate:
52.29%

Alpha Score:
12.88

Interpretation:
This pattern has been observed repeatedly
in historical market data and passed
through the validation pipeline.

Recommendation:
Highest confidence research pattern."
SBIN,2026-06-18,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,72,2968,52.29,12.8763,INSTITUTIONAL,95.5,0.0,VALIDATED,5,"SBIN RESEARCH NOTE

Signal: MOMENTUM

Trust Level: INSTITUTIONAL

Pattern:
MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED

Research Evidence:
Trades Observed = 2968

Confidence Score:
95.5

Historical Win Rate:
52.29%

Alpha Score:
12.88

Interpretation:
This pattern has been observed repeatedly
in historical market data and passed
through the validation pipeline.

Recommendation:
Highest confidence research pattern."
JPM,2026-06-18,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,OVERBOUGHT,BULL,77,1954,55.48,12.236,INSTITUTIONAL,96.05,0.0,VALIDATED,5,"JPM RESEARCH NOTE

Signal: OVERBOUGHT

Trust Level: INSTITUTIONAL

Pattern:
OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED

Research Evidence:
Trades Observed = 1954

Confidence Score:
96.05

Historical Win Rate:
55.48%

Alpha Score:
12.24

Interpretation:
This pattern has been observed repeatedly
in historical market data and passed
through the validation pipeline.

Recommendation:
Highest confidence research pattern."
BAC,2026-06-18,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,OVERBOUGHT,BULL,77,1954,55.48,12.236,INSTITUTIONAL,96.05,0.0,VALIDATED,5,"BAC RESEARCH NOTE

Signal: OVERBOUGHT

Trust Level: INSTITUTIONAL

Pattern:
OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED

Research Evidence:
Trades Observed = 1954

Confidence Score:
96.05

Historical Win Rate:
55.48%

Alpha Score:
12.24

Interpretation:
This pattern has been observed repeatedly
in historical market data and passed
through the validation pipeline.

Recommendation:
Highest confidence research pattern."
SUZLON,2026-06-18,PANIC|BULL|NORMAL|BULL|VIX_ELEVATED,PANIC,BULL,164,1174,52.13,2.4374,INSTITUTIONAL,95.0,0.00108,VALIDATED,5,"SUZLON RESEARCH NOTE

Signal: PANIC

Trust Level: INSTITUTIONAL

Pattern:
PANIC|BULL|NORMAL|BULL|VIX_ELEVATED

Research Evidence:
Trades Observed = 1174

Confidence Score:
95.0

Historical Win Rate:
52.13%

Alpha Score:
2.44

Interpretation:
This pattern has been observed repeatedly
in historical market data and passed
through the validation pipeline.

Recommendation:
Highest confidence research pattern."
YESBANK,2026-06-18,MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED,MOMENTUM,BULL,195,1770,52.15,1.1882,INSTITUTIONAL,95.49,2e-06,VALIDATED,5,"YESBANK RESEARCH NOTE

Signal: MOMENTUM

Trust Level: INSTITUTIONAL

Pattern:
MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED

Research Evidence:
Trades Observed = 1770

Confidence Score:
95.49

Historical Win Rate:
52.15%

Alpha Score:
1.19

Interpretation:
This pattern has been observed repeatedly
in historical market data and passed
through the validation pipeline.

Recommendation:
Highest confidence research pattern."
AAPL,2026-06-18,MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED,MOMENTUM,BULL,195,1770,52.15,1.1882,INSTITUTIONAL,95.49,2e-06,VALIDATED,5,"AAPL RESEARCH NOTE

Signal: MOMENTUM

Trust Level: INSTITUTIONAL

Pattern:
MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED

Research Evidence:
Trades Observed = 1770

Confidence Score:
95.49

Historical Win Rate:
52.15%

Alpha Score:
1.19

Interpretation:
This pattern has been observed repeatedly
in historical market data and passed
through the validation pipeline.

Recommendation:
Highest confidence research pattern."
RKLB,2026-06-18,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC,HIGH_VOLATILITY,47,1696,46.76,19.8121,HIGH,94.65,0.0,VALIDATED,4,"RKLB RESEARCH NOTE

Signal: PANIC

Trust Level: HIGH

Pattern:
PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED

Research Evidence:
Trades Observed = 1696

Confidence Score:
94.65

Historical Win Rate:
46.76%

Alpha Score:
19.81

Interpretation:
This pattern has been observed repeatedly
in historical market data and passed
through the validation pipeline.

Recommendation:
Strong research candidate. Paper trade first."
ETH-USD,2026-06-18,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC,HIGH_VOLATILITY,47,1696,46.76,19.8121,HIGH,94.65,0.0,VALIDATED,4,"ETH-USD RESEARCH NOTE

Signal: PANIC

Trust Level: HIGH

Pattern:
PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED

Research Evidence:
Trades Observed = 1696

Confidence Score:
94.65

Historical Win Rate:
46.76%

Alpha Score:
19.81

Interpretation:
This pattern has been observed repeatedly
in historical market data and passed
through the validation pipeline.

Recommendation:
Strong research candidate. Paper trade first."
